year,age,sex,n_asthma
2007,29,F,910
2007,29,M,892
2007,30,F,859
2007,30,M,822
2007,31,F,807
2007,31,M,798
2007,32,F,762
2007,32,M,699
2007,33,F,795
2007,33,M,667
2007,34,F,728
2007,34,M,622
2007,35,F,795
2007,35,M,603
2007,36,F,787
2007,36,M,589
2007,37,F,790
2007,37,M,589
2007,38,F,751
2007,38,M,509
2007,39,F,740
2007,39,M,482
2007,40,F,689
2007,40,M,472
2007,41,F,771
2007,41,M,489
2007,42,F,802
2007,42,M,533
2007,43,F,840
2007,43,M,487
2007,44,F,843
2007,44,M,527
2007,45,F,783
2007,45,M,468
2007,46,F,821
2007,46,M,461
2007,47,F,729
2007,47,M,458
2007,48,F,767
2007,48,M,439
2007,49,F,767
2007,49,M,404
2007,50,F,710
2007,50,M,392
2007,51,F,726
2007,51,M,395
2007,52,F,686
2007,52,M,422
2007,53,F,688
2007,53,M,374
2007,54,F,646
2007,54,M,340
2007,55,F,626
2007,55,M,354
2007,56,F,594
2007,56,M,341
2007,57,F,591
2007,57,M,367
2007,58,F,612
2007,58,M,337
2007,59,F,582
2007,59,M,382
2007,60,F,626
2007,60,M,360
2007,61,F,542
2007,61,M,333
2007,62,F,500
2007,62,M,339
2007,63,F,502
2007,63,M,329
2007,64,F,497
2007,64,M,349
2007,65,F,467
2007,65,M,319
2007,66,F,453
2007,66,M,276
2007,67,F,430
2007,67,M,234
2007,68,F,391
2007,68,M,217
2007,69,F,345
2007,69,M,211
2007,70,F,344
2007,70,M,179
2007,71,F,348
2007,71,M,185
2007,72,F,314
2007,72,M,177
2007,73,F,330
2007,73,M,181
2007,74,F,311
2007,74,M,182
2007,75,F,319
2007,75,M,186
2007,76,F,300
2007,76,M,170
2007,77,F,311
2007,77,M,150
2007,78,F,288
2007,78,M,131
2007,79,F,267
2007,79,M,141
2007,80,F,268
2007,80,M,100
2007,81,F,271
2007,81,M,117
2007,82,F,204
2007,82,M,91
2007,83,F,218
2007,83,M,89
2007,84,F,228
2007,84,M,89
2007,85,F,191
2007,85,M,56
2007,86,F,190
2007,86,M,50
2007,87,F,174
2007,87,M,39
2007,88,F,125
2007,88,M,31
2007,89,F,102
2007,89,M,27
2007,90,F,86
2007,90,M,22
2007,91,F,81
2007,91,M,22
2007,92,F,59
2007,92,M,14
2007,93,F,43
2007,93,M,10
2007,94,F,35
2007,94,M,12
2007,95,F,25
2007,95,M,6
2007,96,F,25
2007,96,M,4
2007,97,F,9
2007,97,M,6
2007,98,F,8
2007,98,M,0
2007,99,F,7
2007,99,M,2
2007,100,F,14
2007,100,M,1
2007,101,F,5
2007,101,M,0
2007,102,F,4
