year,age,sex,cost
2004,18,F,5599913.602211859
2004,18,M,7070479.791114193
2004,19,F,5681647.461022568
2004,19,M,7304056.319020839
2004,20,F,5453422.1916395435
2004,20,M,7311477.966563398
2004,21,F,5509167.408097769
2004,21,M,7258514.486445551
2004,22,F,5779547.667131424
2004,22,M,6579404.508633058
2004,23,F,5656951.773774855
2004,23,M,6055582.718602124
2004,24,F,5485412.96953349
2004,24,M,5934631.276462722
2004,25,F,5192880.801191359
2004,25,M,5394782.937425365
2004,26,F,5373561.474670392
2004,26,M,4913479.951010067
2004,27,F,4845211.487376261
2004,27,M,4618752.669553063
2004,28,F,4473680.793647721
2004,28,M,4569881.655453649
2004,29,F,4338917.333383469
2004,29,M,3901819.8967930884
2004,30,F,4453133.8656737665
2004,30,M,3848830.1741927434
2004,31,F,4003349.801188497
2004,31,M,3392317.6060798736
2004,32,F,4373390.509051464
2004,32,M,3345569.3781316835
2004,33,F,4185363.1344755334
2004,33,M,3107462.8050826243
2004,34,F,4294890.063699017
2004,34,M,2972484.806552997
2004,35,F,3842296.834212422
2004,35,M,2608525.7281056303
2004,36,F,4086611.2167323837
2004,36,M,2613522.5549782845
2004,37,F,3707307.7015357045
2004,37,M,2434022.310088517
2004,38,F,4026628.1157444078
2004,38,M,2481131.2743225787
2004,39,F,4373010.974677312
2004,39,M,2719590.785262998
2004,40,F,4588503.59638757
2004,40,M,2402229.841571076
2004,41,F,4608270.2841803795
2004,41,M,2867657.0907303058
2004,42,F,4231183.6558511285
2004,42,M,2428287.8026176146
2004,43,F,4421665.122263738
2004,43,M,2360782.0486897603
2004,44,F,3865313.7134655095
2004,44,M,2285956.950580277
2004,45,F,3912876.768814096
2004,45,M,2206961.8224967513
2004,46,F,4003755.384547582
2004,46,M,2053021.509329253
2004,47,F,3925396.6050950726
2004,47,M,1933595.9674808346
2004,48,F,4028931.5974707874
2004,48,M,1863347.9192623326
2004,49,F,3898469.9676228613
2004,49,M,2108220.890603586
2004,50,F,3964936.616995055
2004,50,M,1860055.1243799797
2004,51,F,3437256.196968577
2004,51,M,1705515.2689248573
2004,52,F,3682461.9069639337
2004,52,M,1946876.6390645192
2004,53,F,3461448.898051838
2004,53,M,1754397.9580930388
2004,54,F,3205617.9530981225
2004,54,M,1926153.6542202688
2004,55,F,3409127.529237034
2004,55,M,1866217.849405085
2004,56,F,3299355.3265359104
2004,56,M,1867436.429085946
2004,57,F,3658584.0509934826
2004,57,M,1851713.084754044
2004,58,F,2881524.3106843685
2004,58,M,1660221.1943810782
2004,59,F,2634346.59303922
2004,59,M,1740674.8737127816
2004,60,F,2865489.900425302
2004,60,M,1889052.5315761701
2004,61,F,2799071.6354506556
2004,61,M,1902626.7827133727
2004,62,F,2838322.226631339
2004,62,M,1627409.0768987995
2004,63,F,2943162.8756344765
2004,63,M,1562697.0104763003
2004,64,F,2597841.898320347
2004,64,M,1399829.0587065592
2004,65,F,2335311.473765966
2004,65,M,1411278.1626895636
2004,66,F,2147213.692043037
2004,66,M,1147809.940177519
2004,67,F,2107656.519031632
2004,67,M,931305.6523448693
2004,68,F,2131863.3832323193
2004,68,M,1078273.096195864
2004,69,F,1931616.6074569067
2004,69,M,974218.0927842144
2004,70,F,2043760.9410263898
2004,70,M,1126068.4517680435
2004,71,F,1989058.127501654
2004,71,M,1057289.9209217834
2004,72,F,2083921.4256742934
2004,72,M,1248330.0748443578
2004,73,F,1952638.0280239019
2004,73,M,1085789.620722026
2004,74,F,2069654.2463108767
2004,74,M,962574.5841399704
2004,75,F,1669383.0973054373
2004,75,M,955784.8286015723
2004,76,F,1688006.108272234
2004,76,M,904231.5160042125
2004,77,F,1746231.0253298637
2004,77,M,669180.767009156
2004,78,F,1892520.6328801475
2004,78,M,786586.9446317202
2004,79,F,1644006.3349132487
2004,79,M,695037.7348658188
2004,80,F,1498185.1404361066
2004,80,M,568002.5120915939
2004,81,F,1611502.2451886185
2004,81,M,663595.0320074506
2004,82,F,1375499.9604082627
