year,age,sex,n_exacerbations
2004,104,M,0
2004,105,F,0
2004,105,M,0
2004,106,F,0
2004,106,M,0
2004,107,F,0
2004,107,M,0
2004,108,F,0
2004,108,M,0
2004,109,F,0
2004,109,M,0
2004,110,F,0
2004,110,M,0
2005,0,F,0
2005,0,M,0
2005,1,F,0
2005,1,M,0
2005,2,F,0
2005,2,M,0
2005,3,F,627
2005,3,M,877
2005,4,F,532
2005,4,M,821
2005,5,F,410
2005,5,M,752
2005,6,F,369
2005,6,M,533
2005,7,F,305
2005,7,M,464
2005,8,F,208
2005,8,M,368
2005,9,F,175
2005,9,M,311
2005,10,F,155
2005,10,M,251
2005,11,F,145
2005,11,M,188
2005,12,F,113
2005,12,M,141
2005,13,F,115
2005,13,M,127
2005,14,F,146
2005,14,M,100
2005,15,F,106
2005,15,M,132
2005,16,F,127
2005,16,M,115
2005,17,F,145
2005,17,M,91
2005,18,F,89
2005,18,M,76
2005,19,F,92
2005,19,M,110
2005,20,F,129
2005,20,M,82
2005,21,F,182
2005,21,M,106
2005,22,F,117
2005,22,M,130
2005,23,F,135
2005,23,M,97
2005,24,F,141
2005,24,M,118
2005,25,F,130
2005,25,M,88
2005,26,F,138
2005,26,M,89
2005,27,F,154
2005,27,M,70
2005,28,F,116
2005,28,M,106
2005,29,F,161
2005,29,M,96
2005,30,F,98
2005,30,M,63
2005,31,F,99
2005,31,M,54
2005,32,F,116
2005,32,M,69
2005,33,F,171
2005,33,M,78
2005,34,F,177
2005,34,M,65
2005,35,F,135
2005,35,M,67
2005,36,F,86
2005,36,M,63
2005,37,F,152
2005,37,M,67
2005,38,F,125
2005,38,M,63
2005,39,F,96
2005,39,M,41
2005,40,F,104
2005,40,M,71
2005,41,F,166
2005,41,M,48
2005,42,F,146
2005,42,M,59
2005,43,F,150
2005,43,M,72
2005,44,F,141
2005,44,M,70
2005,45,F,145
2005,45,M,63
2005,46,F,124
2005,46,M,32
2005,47,F,102
2005,47,M,32
2005,48,F,120
2005,48,M,56
2005,49,F,121
2005,49,M,28
2005,50,F,95
2005,50,M,59
2005,51,F,130
2005,51,M,43
2005,52,F,122
2005,52,M,38
2005,53,F,133
2005,53,M,59
2005,54,F,113
2005,54,M,25
2005,55,F,109
2005,55,M,52
2005,56,F,108
2005,56,M,53
2005,57,F,134
2005,57,M,36
2005,58,F,133
2005,58,M,64
2005,59,F,113
2005,59,M,42
2005,60,F,99
2005,60,M,44
2005,61,F,104
