year,age,sex,n_antibiotic_exposure
2004,93,F,0
2004,93,M,0
2004,94,F,0
2004,94,M,0
2004,95,F,0
2004,95,M,0
2004,96,F,0
2004,96,M,0
2004,97,F,0
2004,97,M,0
2004,98,F,0
2004,98,M,0
2004,99,F,0
2004,99,M,0
2004,100,F,44
2004,100,M,13
2004,101,F,0
2004,101,M,0
2004,102,F,0
2004,102,M,0
2004,103,F,0
2004,103,M,0
2004,104,F,0
2004,104,M,0
2004,105,F,0
2004,105,M,0
2004,106,F,0
2004,106,M,0
2004,107,F,0
2004,107,M,0
2004,108,F,0
2004,108,M,0
2004,109,F,0
2004,109,M,0
2004,110,F,0
2004,110,M,0
2005,0,F,3068
2005,0,M,4164
2005,1,F,75
2005,1,M,88
2005,2,F,59
2005,2,M,58
2005,3,F,45
2005,3,M,65
2005,4,F,38
2005,4,M,113
2005,5,F,23
2005,5,M,67
2005,6,F,39
2005,6,M,43
2005,7,F,13
2005,7,M,28
2005,8,F,18
2005,8,M,44
2005,9,F,27
2005,9,M,22
2005,10,F,39
2005,10,M,70
2005,11,F,47
2005,11,M,67
2005,12,F,54
2005,12,M,35
2005,13,F,37
2005,13,M,61
2005,14,F,68
2005,14,M,83
2005,15,F,87
2005,15,M,120
2005,16,F,64
2005,16,M,115
2005,17,F,44
2005,17,M,91
2005,18,F,48
2005,18,M,122
2005,19,F,90
2005,19,M,147
2005,20,F,63
2005,20,M,123
2005,21,F,66
2005,21,M,57
2005,22,F,38
2005,22,M,68
2005,23,F,53
2005,23,M,43
2005,24,F,53
2005,24,M,31
2005,25,F,69
2005,25,M,7
2005,26,F,58
2005,26,M,0
2005,27,F,50
2005,27,M,24
2005,28,F,50
2005,28,M,30
2005,29,F,74
2005,29,M,42
2005,30,F,55
2005,30,M,42
2005,31,F,68
2005,31,M,54
2005,32,F,46
2005,32,M,61
2005,33,F,30
2005,33,M,60
2005,34,F,49
2005,34,M,78
2005,35,F,45
2005,35,M,53
2005,36,F,55
2005,36,M,50
2005,37,F,28
2005,37,M,45
2005,38,F,38
2005,38,M,51
2005,39,F,32
2005,39,M,49
2005,40,F,53
2005,40,M,78
2005,41,F,60
2005,41,M,84
2005,42,F,74
2005,42,M,92
2005,43,F,29
2005,43,M,41
2005,44,F,25
2005,44,M,30
2005,45,F,24
2005,45,M,36
2005,46,F,11
2005,46,M,28
2005,47,F,7
2005,47,M,20
2005,48,F,9
2005,48,M,34
2005,49,F,7
2005,49,M,20
2005,50,F,24
2005,50,M,36
2005,51,F,25
2005,51,M,12
2005,52,F,9
2005,52,M,29
2005,53,F,0
2005,53,M,4
2005,54,F,5
2005,54,M,19
2005,55,F,4
2005,55,M,3
2005,56,F,0
2005,56,M,0
2005,57,F,0
2005,57,M,0
2005,58,F,7
2005,58,M,37
2005,59,F,0
2005,59,M,0
2005,60,F,8
2005,60,M,13
2005,61,F,19
2005,61,M,14
2005,62,F,13
2005,62,M,7
2005,63,F,7
2005,63,M,8
2005,64,F,15
2005,64,M,12
2005,65,F,8
2005,65,M,1
2005,66,F,0
2005,66,M,1
2005,67,F,0
2005,67,M,0
2005,68,F,0
2005,68,M,0
2005,69,F,0
2005,69,M,0
2005,70,F,2
2005,70,M,0
2005,71,F,0
2005,71,M,0
2005,72,F,1
2005,72,M,0
2005,73,F,0
2005,73,M,0
2005,74,F,0
2005,74,M,0
2005,75,F,0
2005,75,M,0
2005,76,F,0
2005,76,M,0
2005,77,F,0
2005,77,M,0
2005,78,F,0
2005,78,M,0
2005,79,F,0
2005,79,M,0
2005,80,F,2
2005,80,M,0
2005,81,F,0
2005,81,M,0
2005,82,F,0
2005,82,M,0
2005,83,F,0
2005,83,M,0
2005,84,F,0
2005,84,M,0
2005,85,F,0
2005,85,M,0
2005,86,F,0
2005,86,M,0
2005,87,F,0
2005,87,M,0
2005,88,F,0
2005,88,M,0
2005,89,F,0
2005,89,M,0
2005,90,F,0
2005,90,M,0
