year,age,sex,utility
2003,32,F,6057.604898938759
2003,32,M,5953.378706614892
2003,33,F,6099.228616946195
2003,33,M,5983.370049108373
2003,34,F,6130.152439192684
2003,34,M,5904.130466559676
2003,35,F,5973.915449313579
2003,35,M,6043.3438205668135
2003,36,F,6020.313371230033
2003,36,M,6288.116101274842
2003,37,F,6459.428808869624
2003,37,M,6609.641528876946
2003,38,F,7065.476393204212
2003,38,M,7043.370137031157
2003,39,F,7290.1981600468325
2003,39,M,7313.85304550246
2003,40,F,7329.38371583518
2003,40,M,7462.312684071085
2003,41,F,7190.222995203273
2003,41,M,7306.27285134076
2003,42,F,7261.537123504503
2003,42,M,7343.970778410584
2003,43,F,7028.012833707631
2003,43,M,7418.235922107329
2003,44,F,6960.774230833428
2003,44,M,7155.356267724315
2003,45,F,6865.608867526175
2003,45,M,6720.990742513499
2003,46,F,6720.301115935619
2003,46,M,6641.188291139557
2003,47,F,6519.753991629366
2003,47,M,6433.700358290854
2003,48,F,6516.137216566691
2003,48,M,6413.634490913075
2003,49,F,6294.388399956667
2003,49,M,6159.441740031635
2003,50,F,6088.5666483240275
2003,50,M,5804.913498639979
2003,51,F,5782.044103850318
2003,51,M,5661.391750461707
2003,52,F,5769.460026125668
2003,52,M,5491.55158599665
2003,53,F,5597.796390196607
2003,53,M,5378.382945425273
2003,54,F,5564.915047855332
2003,54,M,5194.556957327589
2003,55,F,5411.968311171913
2003,55,M,5139.780072169157
2003,56,F,5359.46260453759
2003,56,M,5085.437385740847
2003,57,F,4648.638393374936
2003,57,M,4349.749830458474
2003,58,F,4306.266684197852
2003,58,M,4136.993772713773
2003,59,F,4192.671885637076
2003,59,M,4043.705091696333
2003,60,F,4066.8323191908366
2003,60,M,3892.9645030748984
2003,61,F,3793.961731635246
2003,61,M,3591.3570713413656
2003,62,F,3686.6098775373353
2003,62,M,3374.8250013351817
2003,63,F,3445.318484991716
2003,63,M,3159.009355712894
2003,64,F,3373.3022195286653
2003,64,M,3035.350985357939
2003,65,F,3263.749693174165
2003,65,M,3084.5905130751144
2003,66,F,3145.522204349638
2003,66,M,2950.463820512453
2003,67,F,3150.5640163445605
2003,67,M,2922.652741456847
2003,68,F,3074.2939347966094
2003,68,M,2819.346579727243
2003,69,F,2933.2184368116896
2003,69,M,2736.3626043132695
2003,70,F,3028.5193241171028
2003,70,M,2673.1493549933643
2003,71,F,2932.203061160592
2003,71,M,2704.3342645516545
2003,72,F,2922.5094045563596
2003,72,M,2650.379212570465
2003,73,F,2841.8591598019966
2003,73,M,2507.7295980987824
2003,74,F,2773.917727042753
2003,74,M,2213.4174613876767
2003,75,F,2700.0290179984004
2003,75,M,2143.778012416022
2003,76,F,2614.100182275165
2003,76,M,1940.758872065436
2003,77,F,2552.020139717433
2003,77,M,1861.8702445725285
2003,78,F,2409.075476393858
2003,78,M,1734.017670549482
2003,79,F,2370.0320992274424
2003,79,M,1546.6685882955305
2003,80,F,2220.6691699783296
2003,80,M,1433.810667734138
2003,81,F,2100.3780790422984
2003,81,M,1329.2310580390213
2003,82,F,1920.7707203424793
2003,82,M,1166.8868662676266
2003,83,F,1748.1659692574453
2003,83,M,1000.7769015296346
2003,84,F,1457.4176581639013
2003,84,M,769.3971237273643
2003,85,F,1281.7080837429248
2003,85,M,657.5899975365743
2003,86,F,1139.6228861030982
2003,86,M,578.5706000151482
2003,87,F,1064.3795695932
2003,87,M,488.4694018915071
2003,88,F,924.4047797188288
2003,88,M,423.4816527351491
2003,89,F,762.8751302617475
2003,89,M,362.03247871382536
2003,90,F,659.8016062829928
2003,90,M,248.44081752772377
2003,91,F,563.0034924244832
2003,91,M,181.84489634791143
2003,92,F,411.80793910692347
2003,92,M,169.64305486827425
2003,93,F,357.50944935685976
2003,93,M,105.35931295292085
2003,94,F,259.49748236802594
2003,94,M,80.1346173402086
2003,95,F,177.76030558638553
2003,95,M,62.192854285057855
2003,96,F,148.4462491679951
2003,96,M,35.58159045178455
2003,97,F,105.13940614871501
2003,97,M,26.49397929101913
2003,98,F,70.24919431651713
2003,98,M,11.997999999999998
2003,99,F,55.20783724752292
2003,99,M,5.9990000000000006
2003,100,F,103.0906899144274
2003,100,M,20.56799999999999
2003,101,F,55.76902894474806
2003,101,M,4.285
2003,102,F,31.018846369520727
2003,102,M,3.359618490973097
2003,103,F,0.0
2003,103,M,0.0
2003,104,F,0.0
2003,104,M,0.0
2003,105,F,0.0
2003,105,M,0.0
2003,106,F,0.0
2003,106,M,0.0
2003,107,F,0.0
2003,107,M,0.0
2003,108,F,0.0
2003,108,M,0.0
2003,109,F,0.0
2003,109,M,0.0
2003,110,F,0.0
2003,110,M,0.0
2004,0,F,5044.0
2004,0,M,5247.0
2004,1,F,5009.660166667138
2004,1,M,5162.895833333743
2004,2,F,4997.0426666668445
2004,2,M,5126.791666667253
2004,3,F,4909.052314266405
2004,3,M,5149.921546993131
2004,4,F,5139.165454288014
2004,4,M,5284.422330806076
2004,5,F,4992.513538581134
2004,5,M,5377.784062802305
2004,6,F,5187.179648702554
2004,6,M,5369.575796081558
2004,7,F,5224.866942679328
2004,7,M,5619.334244141663
2004,8,F,5523.113981302881
2004,8,M,5811.259408980247
2004,9,F,5661.36031105402
2004,9,M,5847.735113086296
2004,10,F,5633.516223446792
2004,10,M,5880.486782748417
2004,11,F,5699.977056929882
2004,11,M,5990.604388736991
2004,12,F,5823.423648494252
2004,12,M,6035.540895186907
2004,13,F,5904.639855212437
2004,13,M,6070.717660345159
2004,14,F,5898.29262554248
2004,14,M,6125.715432438269
2004,15,F,5569.766580609601
2004,15,M,5974.497241354201
2004,16,F,5493.0021589330845
2004,16,M,5613.400143542657
2004,17,F,5422.663379092278
2004,17,M,5744.12689308274
2004,18,F,5550.521964592769
2004,18,M,5823.641720730566
2004,19,F,5631.852383316262
2004,19,M,5953.340435600817
2004,20,F,5605.240763154647
2004,20,M,6045.124074322905
2004,21,F,5744.5218818553385
2004,21,M,5893.059931261266
2004,22,F,5670.069701208354
2004,22,M,5960.292731750556
2004,23,F,5782.515704573263
2004,23,M,5900.558336282831
2004,24,F,5650.421139720285
2004,24,M,5919.04210781477
2004,25,F,5669.926788129401
2004,25,M,5636.233779539696
2004,26,F,5580.675241918597
2004,26,M,5523.418699987804
2004,27,F,5560.997234141602
2004,27,M,5626.431817222535
2004,28,F,5689.131109099461
2004,28,M,5539.2362359453755
2004,29,F,5670.052061260865
2004,29,M,5637.27456004625
2004,30,F,5616.23122362382
2004,30,M,5483.533249882849
2004,31,F,5598.060614495995
2004,31,M,5687.302909452441
2004,32,F,5874.512103342994
2004,32,M,5641.378052700809
2004,33,F,6101.408103028677
2004,33,M,5992.761380822422
2004,34,F,6154.182520822069
2004,34,M,6018.376278688576
2004,35,F,6056.8360337969525
2004,35,M,6038.803970963535
2004,36,F,6015.265771956406
2004,36,M,6076.4743161182
2004,37,F,6057.861326930282
2004,37,M,6316.091873674811
2004,38,F,6482.438920052376
2004,38,M,6643.702296990989
2004,39,F,7104.8233501381355
2004,39,M,7085.288157341043
2004,40,F,7327.280327907324
2004,40,M,7369.7318363380255
2004,41,F,7362.687458519845
2004,41,M,7504.99905118323
2004,42,F,7205.48387485331
2004,42,M,7321.404301340953
2004,43,F,7273.5460124351
2004,43,M,7362.7711296564585
2004,44,F,7031.8658859564275
2004,44,M,7418.463587533995
2004,45,F,6834.360876798109
2004,45,M,6880.699192642114
2004,46,F,6866.233845480736
2004,46,M,6718.683767307764
2004,47,F,6718.8809955237375
2004,47,M,6645.711171276291
2004,48,F,6518.781763043623
2004,48,M,6434.731045640579
2004,49,F,6516.3841960932305
2004,49,M,6415.234797243532
2004,50,F,6283.425525430927
2004,50,M,6166.73162581046
2004,51,F,6079.10275569005
2004,51,M,5802.343894541071
2004,52,F,5768.061989231686
2004,52,M,5651.444490556351
2004,53,F,5757.357087694332
2004,53,M,5475.327469769433
2004,54,F,5588.750098934898
2004,54,M,5364.609681592259
2004,55,F,5481.762784792867
2004,55,M,5023.026461910421
2004,56,F,5398.35459044059
2004,56,M,5112.4534507864555
2004,57,F,5360.143902061311
2004,57,M,5070.104019136032
2004,58,F,4632.057209855878
2004,58,M,4304.024987809305
2004,59,F,4293.257608793048
2004,59,M,4112.638970923866
2004,60,F,4191.949534462573
2004,60,M,4025.5601701327146
2004,61,F,4065.7422031408923
2004,61,M,3861.1461043516697
2004,62,F,3784.927635380351
2004,62,M,3565.3491972254833
2004,63,F,3678.105939178133
2004,63,M,3339.5553277278887
2004,64,F,3428.386997868584
2004,64,M,3120.948558591746
2004,65,F,3401.370770964491
2004,65,M,3172.8317876780347
2004,66,F,3240.7729347076943
