year,age,sex,n_deaths
2006,41,F,4
2006,41,M,9
2006,42,F,8
2006,42,M,13
2006,43,F,14
2006,43,M,18
2006,44,F,8
2006,44,M,15
2006,45,F,9
2006,45,M,18
2006,46,F,13
2006,46,M,22
2006,47,F,11
2006,47,M,34
2006,48,F,17
2006,48,M,21
2006,49,F,18
2006,49,M,22
2006,50,F,13
2006,50,M,23
2006,51,F,15
2006,51,M,22
2006,52,F,12
2006,52,M,26
2006,53,F,12
2006,53,M,32
2006,54,F,23
2006,54,M,37
2006,55,F,25
2006,55,M,30
2006,56,F,25
2006,56,M,31
2006,57,F,16
2006,57,M,38
2006,58,F,31
2006,58,M,41
2006,59,F,38
2006,59,M,60
2006,60,F,28
2006,60,M,52
2006,61,F,31
2006,61,M,50
2006,62,F,29
2006,62,M,43
2006,63,F,35
2006,63,M,54
2006,64,F,37
2006,64,M,57
2006,65,F,36
2006,65,M,63
2006,66,F,46
2006,66,M,79
2006,67,F,29
2006,67,M,60
2006,68,F,46
2006,68,M,64
2006,69,F,40
2006,69,M,72
2006,70,F,52
2006,70,M,62
2006,71,F,58
2006,71,M,70
2006,72,F,68
2006,72,M,91
2006,73,F,71
2006,73,M,78
2006,74,F,70
2006,74,M,86
2006,75,F,62
2006,75,M,97
2006,76,F,73
2006,76,M,96
2006,77,F,85
2006,77,M,104
2006,78,F,88
2006,78,M,103
2006,79,F,95
2006,79,M,95
2006,80,F,103
2006,80,M,94
2006,81,F,102
2006,81,M,114
2006,82,F,128
2006,82,M,112
2006,83,F,122
2006,83,M,98
2006,84,F,116
2006,84,M,119
2006,85,F,127
2006,85,M,96
2006,86,F,120
2006,86,M,91
2006,87,F,108
2006,87,M,79
2006,88,F,104
2006,88,M,75
2006,89,F,114
2006,89,M,49
2006,90,F,99
2006,90,M,61
2006,91,F,86
2006,91,M,47
2006,92,F,71
2006,92,M,47
2006,93,F,69
2006,93,M,48
2006,94,F,75
2006,94,M,31
2006,95,F,55
2006,95,M,24
2006,96,F,50
2006,96,M,14
2006,97,F,39
2006,97,M,12
2006,98,F,22
2006,98,M,8
2006,99,F,19
2006,99,M,1
2006,100,F,38
2006,100,M,6
2006,101,F,23
2006,101,M,4
2006,102,F,21
2006,102,M,6
2006,103,F,16
2006,103,M,5
2006,104,F,4
2006,104,M,1
2006,105,F,7
2006,105,M,0
2006,106,F,0
2006,106,M,0
2006,107,F,0
2006,107,M,0
2006,108,F,0
2006,108,M,0
2006,109,F,0
2006,109,M,0
2006,110,F,0
2006,110,M,0
2007,0,F,22
2007,0,M,38
2007,1,F,1
2007,1,M,1
2007,2,F,1
2007,2,M,4
2007,3,F,0
2007,3,M,1
2007,4,F,0
2007,4,M,0
2007,5,F,0
2007,5,M,2
2007,6,F,3
2007,6,M,0
2007,7,F,0
2007,7,M,0
2007,8,F,0
2007,8,M,0
2007,9,F,0
2007,9,M,0
2007,10,F,0
2007,10,M,0
2007,11,F,1
2007,11,M,0
2007,12,F,0
2007,12,M,1
2007,13,F,0
2007,13,M,1
2007,14,F,3
2007,14,M,4
2007,15,F,0
2007,15,M,0
2007,16,F,3
2007,16,M,1
2007,17,F,1
2007,17,M,5
2007,18,F,4
2007,18,M,8
2007,19,F,0
2007,19,M,2
2007,20,F,1
2007,20,M,5
2007,21,F,2
2007,21,M,8
2007,22,F,1
2007,22,M,5
2007,23,F,0
2007,23,M,8
2007,24,F,2
