year,age,sex,province,prob
2003,6,F,BC,0.927356058866496
2003,6,M,BC,0.9674461599692952
2003,7,F,BC,0.9689660031123836
2003,7,M,BC,0.991451963322392
2003,8,F,BC,0.9883726004372893
2003,8,M,BC,0.9968552890300714
2003,9,F,BC,0.9962797832943544
2003,9,M,BC,0.9946594919622332
2003,10,F,BC,0.9981547399778202
2003,10,M,BC,0.9898239498488915
2003,11,F,BC,0.9969006053070296
2003,11,M,BC,0.9846153319611036
2003,12,F,BC,0.994103336859454
2003,12,M,BC,0.980041550839399
2003,13,F,BC,0.9906433368070896
2003,13,M,BC,0.9764991005152912
2003,14,F,BC,0.9870095489321448
2003,14,M,BC,0.9740793894070272
2003,15,F,BC,0.9834677664970636
2003,15,M,BC,0.972719903196468
2003,16,F,BC,0.980154512787117
2003,16,M,BC,0.9722817608714428
2003,17,F,BC,0.9771314606781905
2003,17,M,BC,0.972591139277419
2003,18,F,BC,0.974418146991944
2003,18,M,BC,0.9734624863903212
2003,19,F,BC,0.9720122657369497
2003,19,M,BC,0.9747123705112524
2003,20,F,BC,0.969902500586426
2003,20,M,BC,0.9761684142688892
2003,21,F,BC,0.9680765846459694
2003,21,M,BC,0.9776755341746788
2003,22,F,BC,0.9665260631079544
2003,22,M,BC,0.9791005290447566
2003,23,F,BC,0.9652485957608602
2003,23,M,BC,0.9803354201660824
2003,24,F,BC,0.964248322350408
2003,24,M,BC,0.9812996033018349
2003,25,F,BC,0.963534687536835
2003,25,M,BC,0.9819407144947164
2003,26,F,BC,0.9631201002391956
2003,26,M,BC,0.9822340815419848
2003,27,F,BC,0.9630168276158372
2003,27,M,BC,0.98218069612489
2003,28,F,BC,0.9632335553819686
2003,28,M,BC,0.981803767664766
2003,29,F,BC,0.9637720544623786
2003,29,M,BC,0.9811440766144424
2003,30,F,BC,0.9646243622433568
2003,30,M,BC,0.9802544972552556
2003,31,F,BC,0.9657708106243964
2003,31,M,BC,0.9791941750358658
2003,32,F,BC,0.9671791199255528
2003,32,M,BC,0.9780228955397496
2003,33,F,BC,0.9688046433788098
2003,33,M,BC,0.9767961586629624
2003,34,F,BC,0.9705917116063848
2003,34,M,BC,0.9755613754032908
2003,35,F,BC,0.9724759098143017
2003,35,M,BC,0.9743554531939992
2003,36,F,BC,0.9743870373920948
2003,36,M,BC,0.9732038563903112
2003,37,F,BC,0.976252458006976
2003,37,M,BC,0.972121052220996
2003,38,F,BC,0.9780005481654678
2003,38,M,BC,0.9711121067649512
2003,39,F,BC,0.9795639871082644
2003,39,M,BC,0.9701750991764322
2003,40,F,BC,0.9808826901634976
2003,40,M,BC,0.9693039831164684
2003,41,F,BC,0.9819062592436332
2003,41,M,BC,0.9684915389131212
2003,42,F,BC,0.982595896954432
2003,42,M,BC,0.9677321168679612
2003,43,F,BC,0.9829257963378748
2003,43,M,BC,0.9670239554193222
2003,44,F,BC,0.9828840714806988
2003,44,M,BC,0.9663709510890772
2003,45,F,BC,0.9824733331985228
2003,45,M,BC,0.9657838463045408
2003,46,F,BC,0.9817110393997996
2003,46,M,BC,0.9652808765833882
2003,47,F,BC,0.9806297637341608
2003,47,M,BC,0.9648879751804474
2003,48,F,BC,0.979277531411288
2003,48,M,BC,0.9646386702154652
2003,49,F,BC,0.9777183698202516
2003,49,M,BC,0.9645738285198676
2003,50,F,BC,0.9760332146302504
2003,50,M,BC,0.964741405394091
2003,51,F,BC,0.974321298215756
2003,51,M,BC,0.9651963536416428
2003,52,F,BC,0.9727021227079136
2003,52,M,BC,0.9660008309847234
2003,53,F,BC,0.971318077901351
2003,53,M,BC,0.9672248225240074
2003,54,F,BC,0.9703376947698656
