province,projection_scenario,timepoint,N,prop_male
CA,M6,2026-09-01T00:00:00,31616.07055732783,0.5120608285264814
CA,M6,2026-10-01T00:00:00,31649.172452617753,0.5120608285264814
CA,M6,2026-11-01T00:00:00,31683.37774441734,0.5120608285264814
CA,M6,2026-12-01T00:00:00,31716.479639707264,0.5120608285264814
CA,M6,2027-01-01T00:00:00,31750.68493150685,0.5120372767279316
CA,M6,2027-02-01T00:00:00,31784.192156126854,0.5120372767279316
CA,M6,2027-03-01T00:00:00,31814.45674610621,0.5120372767279316
CA,M6,2027-04-01T00:00:00,31847.963970726218,0.5120372767279316
CA,M6,2027-05-01T00:00:00,31880.39031713267,0.5120372767279316
CA,M6,2027-06-01T00:00:00,31913.897541752674,0.5120372767279316
CA,M6,2027-07-01T00:00:00,31946.32388815913,0.5120372767279316
CA,M6,2027-08-01T00:00:00,31979.831112779135,0.5120372767279316
CA,M6,2027-09-01T00:00:00,32013.33833739914,0.5120372767279316
CA,M6,2027-10-01T00:00:00,32045.76468380559,0.5120372767279316
CA,M6,2027-11-01T00:00:00,32079.271908425595,0.5120372767279316
CA,M6,2027-12-01T00:00:00,32111.698254832052,0.5120372767279316
CA,M6,2028-01-01T00:00:00,32145.205479452055,0.5121452313986192
CA,M6,2028-02-01T00:00:00,32177.92499438581,0.5121452313986192
CA,M6,2028-03-01T00:00:00,32208.53357287222,0.5121452313986192
CA,M6,2028-04-01T00:00:00,32241.253087805973,0.5121452313986192
CA,M6,2028-05-01T00:00:00,32272.917134516058,0.5121452313986192
CA,M6,2028-06-01T00:00:00,32305.63664944981,0.5121452313986192
CA,M6,2028-07-01T00:00:00,32337.30069615989,0.5121452313986192
CA,M6,2028-08-01T00:00:00,32370.020211093644,0.5121452313986192
CA,M6,2028-09-01T00:00:00,32402.739726027397,0.5121452313986192
CA,M6,2028-10-01T00:00:00,32434.40377273748,0.5121452313986192
CA,M6,2028-11-01T00:00:00,32467.123287671235,0.5121452313986192
CA,M6,2028-12-01T00:00:00,32498.787334381315,0.5121452313986192
CA,M6,2029-01-01T00:00:00,32531.50684931507,0.5121273370389086
CA,M6,2029-02-01T00:00:00,32564.31600675549,0.5121273370389086
CA,M6,2029-03-01T00:00:00,32593.95008444361,0.5121273370389086
CA,M6,2029-04-01T00:00:00,32626.759241884032,0.5121273370389086
CA,M6,2029-05-01T00:00:00,32658.510039407018,0.5121273370389086
CA,M6,2029-06-01T00:00:00,32691.31919684744,0.5121273370389086
CA,M6,2029-07-01T00:00:00,32723.069994370428,0.5121273370389086
CA,M6,2029-08-01T00:00:00,32755.87915181085,0.5121273370389086
CA,M6,2029-09-01T00:00:00,32788.688309251265,0.5121273370389086
CA,M6,2029-10-01T00:00:00,32820.439106774254,0.5121273370389086
CA,M6,2029-11-01T00:00:00,32853.24826421468,0.5121273370389086
CA,M6,2029-12-01T00:00:00,32884.99906173767,0.5121273370389086
CA,M6,2030-01-01T00:00:00,32917.808219178085,0.5121098626716605
CA,M6,2030-02-01T00:00:00,32950.6173766185,0.5121098626716605
