timepoint,province,sex,age,prob_death,se
1996-01-01 00:00:00,BC,F,48,0.00199,0.00052
1996-01-01 00:00:00,BC,M,49,0.00384,0.00071
1996-01-01 00:00:00,BC,F,49,0.00217,0.00054
1996-01-01 00:00:00,BC,M,50,0.0042,0.00083
1996-01-01 00:00:00,BC,F,50,0.00237,0.00062
1996-01-01 00:00:00,BC,M,51,0.0046,0.00089
1996-01-01 00:00:00,BC,F,51,0.00258,0.00067
1996-01-01 00:00:00,BC,M,52,0.00503,0.00093
1996-01-01 00:00:00,BC,F,52,0.00282,0.0007
1996-01-01 00:00:00,BC,M,53,0.00551,0.00099
1996-01-01 00:00:00,BC,F,53,0.00307,0.00075
1996-01-01 00:00:00,BC,M,54,0.00603,0.00108
1996-01-01 00:00:00,BC,F,54,0.00336,0.00081
1996-01-01 00:00:00,BC,M,55,0.00661,0.00115
1996-01-01 00:00:00,BC,F,55,0.00367,0.00086
1996-01-01 00:00:00,BC,M,56,0.00724,0.00124
1996-01-01 00:00:00,BC,F,56,0.00401,0.00093
1996-01-01 00:00:00,BC,M,57,0.00794,0.00132
1996-01-01 00:00:00,BC,F,57,0.00439,0.00099
1996-01-01 00:00:00,BC,M,58,0.0087,0.0014
1996-01-01 00:00:00,BC,F,58,0.00481,0.00104
1996-01-01 00:00:00,BC,M,59,0.00953,0.00149
1996-01-01 00:00:00,BC,F,59,0.00528,0.00111
1996-01-01 00:00:00,BC,M,60,0.01045,0.00156
1996-01-01 00:00:00,BC,F,60,0.00579,0.00117
1996-01-01 00:00:00,BC,M,61,0.01146,0.00166
1996-01-01 00:00:00,BC,F,61,0.00636,0.00125
1996-01-01 00:00:00,BC,M,62,0.01257,0.00174
1996-01-01 00:00:00,BC,F,62,0.00699,0.00133
1996-01-01 00:00:00,BC,M,63,0.01379,0.00182
1996-01-01 00:00:00,BC,F,63,0.00769,0.00137
1996-01-01 00:00:00,BC,M,64,0.01513,0.0019
1996-01-01 00:00:00,BC,F,64,0.00847,0.00145
1996-01-01 00:00:00,BC,M,65,0.0166,0.00199
1996-01-01 00:00:00,BC,F,65,0.00933,0.0015
1996-01-01 00:00:00,BC,M,66,0.01822,0.00212
1996-01-01 00:00:00,BC,F,66,0.01028,0.00159
1996-01-01 00:00:00,BC,M,67,0.02001,0.00228
1996-01-01 00:00:00,BC,F,67,0.01135,0.00168
1996-01-01 00:00:00,BC,M,68,0.02197,0.00243
1996-01-01 00:00:00,BC,F,68,0.01253,0.00179
1996-01-01 00:00:00,BC,M,69,0.02412,0.0026
1996-01-01 00:00:00,BC,F,69,0.01385,0.00189
1996-01-01 00:00:00,BC,M,70,0.0265,0.00277
1996-01-01 00:00:00,BC,F,70,0.01532,0.00199
1996-01-01 00:00:00,BC,M,71,0.02911,0.00296
1996-01-01 00:00:00,BC,F,71,0.01695,0.00209
1996-01-01 00:00:00,BC,M,72,0.03198,0.00315
1996-01-01 00:00:00,BC,F,72,0.01878,0.0022
1996-01-01 00:00:00,BC,M,73,0.03515,0.00339
1996-01-01 00:00:00,BC,F,73,0.02082,0.00236
1996-01-01 00:00:00,BC,M,74,0.03864,0.00358
1996-01-01 00:00:00,BC,F,74,0.0231,0.00248
1996-01-01 00:00:00,BC,M,75,0.04248,0.00387
1996-01-01 00:00:00,BC,F,75,0.02566,0.00265
1996-01-01 00:00:00,BC,M,76,0.04671,0.0042
1996-01-01 00:00:00,BC,F,76,0.02851,0.00289
1996-01-01 00:00:00,BC,M,77,0.05137,0.00491
1996-01-01 00:00:00,BC,F,77,0.03171,0.00331
1996-01-01 00:00:00,BC,M,78,0.05651,0.00538
1996-01-01 00:00:00,BC,F,78,0.0353,0.00363
1996-01-01 00:00:00,BC,M,79,0.06217,0.0058
1996-01-01 00:00:00,BC,F,79,0.03932,0.00388
1996-01-01 00:00:00,BC,M,80,0.06841,0.00619
1996-01-01 00:00:00,BC,F,80,0.04384,0.00416
1996-01-01 00:00:00,BC,M,81,0.07529,0.00654
