timepoint,age,sex,province,prob
2006-01-01 00:00:00,8,M,CA,1.0
2006-01-01 00:00:00,9,F,CA,1.0
2006-01-01 00:00:00,9,M,CA,1.0
2006-01-01 00:00:00,10,F,CA,1.0
2006-01-01 00:00:00,10,M,CA,1.0
2006-01-01 00:00:00,11,F,CA,1.0
2006-01-01 00:00:00,11,M,CA,0.9932160836875822
2006-01-01 00:00:00,12,F,CA,0.9976961625199507
2006-01-01 00:00:00,12,M,CA,0.9866846024873802
2006-01-01 00:00:00,13,F,CA,0.9923400389772375
2006-01-01 00:00:00,13,M,CA,0.9813432513753838
2006-01-01 00:00:00,14,F,CA,0.987309822532228
2006-01-01 00:00:00,14,M,CA,0.9772947002813938
2006-01-01 00:00:00,15,F,CA,0.982803432108286
2006-01-01 00:00:00,15,M,CA,0.9744849253404976
2006-01-01 00:00:00,16,F,CA,0.97889698105289
2006-01-01 00:00:00,16,M,CA,0.9727831078002463
2006-01-01 00:00:00,17,F,CA,0.9755985307140584
2006-01-01 00:00:00,17,M,CA,0.9720233742558346
2006-01-01 00:00:00,18,F,CA,0.9728795588472906
2006-01-01 00:00:00,18,M,CA,0.9720273896361776
2006-01-01 00:00:00,19,F,CA,0.97069397205161
2006-01-01 00:00:00,19,M,CA,0.9726171532135952
2006-01-01 00:00:00,20,F,CA,0.9689898502401624
2006-01-01 00:00:00,20,M,CA,0.9736227195565064
2006-01-01 00:00:00,21,F,CA,0.9677167052168378
2006-01-01 00:00:00,21,M,CA,0.9748872563785256
2006-01-01 00:00:00,22,F,CA,0.96682976161357
2006-01-01 00:00:00,22,M,CA,0.976270649191831
2006-01-01 00:00:00,23,F,CA,0.9662920948179788
2006-01-01 00:00:00,23,M,CA,0.9776522113410736
2006-01-01 00:00:00,24,F,CA,0.9660751199941616
2006-01-01 00:00:00,24,M,CA,0.9789326952497132
2006-01-01 00:00:00,25,F,CA,0.96615777658947
2006-01-01 00:00:00,25,M,CA,0.98003560210067
2006-01-01 00:00:00,26,F,CA,0.9665247108104644
2006-01-01 00:00:00,26,M,CA,0.9809076933385856
2006-01-01 00:00:00,27,F,CA,0.9671637702051176
